Start Time,End Time,Elapsed Time,End PSI,Extension %
2024-05-16 15:03:35,2024-05-16 15:03:50,0:00:15.002826,7363.7252983760645,100.00%
2024-05-16 15:24:04,2024-05-16 15:24:38,0:00:33.394993,6966.542750929369,100.00%
2024-05-16 15:32:21,2024-05-16 15:32:31,0:00:09.261530,7025.239679123471,100.00%
2024-05-16 15:59:45,2024-05-16 16:00:11,0:00:25.893659,6999.804343572694,100.00%
2024-05-16 16:16:55,2024-05-16 16:17:07,0:00:12.245922,7243.983564860113,100.00%
2024-05-16 16:28:52,2024-05-16 16:29:01,0:00:08.262587,7084.719233026817,100.00%
2024-05-16 16:42:25,2024-05-16 16:42:37,0:00:12.014523,6991.586773625525,100.00%
2024-05-16 17:03:35,2024-05-16 17:04:07,0:00:32.727119,6928.194091175909,100.00%
2024-05-16 17:16:18,2024-05-16 17:16:31,0:00:12.835199,6987.282332224625,100.00%
2024-05-16 18:43:08,2024-05-16 18:44:25,0:01:17.246403,6386.617100371747,100.00%
