Start Time,End Time,Elapsed Time,End PSI,Extension %
2024-05-16 15:25:31,2024-05-16 15:25:56,0:00:24.886490,7098.415182938768,100.00%
2024-05-16 15:28:53,2024-05-16 15:29:17,0:00:23.238783,6961.455683819225,100.00%
2024-05-16 15:36:55,2024-05-16 15:37:36,0:00:41.045437,7040.50088045393,100.00%
2024-05-16 15:57:48,2024-05-16 15:58:08,0:00:20.003732,6994.325963607915,100.00%
2024-05-16 16:18:25,2024-05-16 16:18:36,0:00:10.564070,7161.807865388388,100.00%
2024-05-16 16:32:29,2024-05-16 16:32:37,0:00:08.074373,6441.4009000195765,71.79%
2024-05-16 16:36:19,2024-05-16 16:36:34,0:00:15.158662,7214.243787908443,100.00%
2024-05-16 17:01:00,2024-05-16 17:01:18,0:00:18.266526,7160.242613969883,100.00%
2024-05-16 17:14:45,2024-05-16 17:14:57,0:00:12.202288,7062.02308745843,100.00%
2024-05-16 18:51:20,2024-05-16 18:52:23,0:01:02.818438,6768.147133633331,100.00%
